entity,tier,tier_rank,prompt_id,group,welfare_neg_mean,welfare_pos_mean,neutral_mean,salience_index,suffering_bias
moss,T6,6,P05,emotional_attribution,0.0012755387385065358,0.0006427129846997559,0.009488385505392216,0.0006328257538067799,0.6649485344288723
moss,T6,6,P06,policy_framing,0.0041430390847381204,,0.003428441399591975,,
moss,T6,6,P07,consciousness_probe,9.724095070851035e-05,,0.008410255812729398,,
moss,T6,6,P08,neutral_baseline,,,0.003705081959196832,,
moth,T5,5,P01,appearance_state,0.0009647142978792544,0.0016438303027825896,,-0.0006791160049033351,0.36982854755545713
moth,T5,5,P02,researcher_observation,4.457723783464947e-05,0.000113766595859488,0.006219709059223533,-6.918935802483853e-05,0.28152160171008744
moth,T5,5,P03,moral_framing,0.0004382051629363559,,0.0021710756700485945,,
moth,T5,5,P04,care_intervention,0.006476940819993615,,0.043413232546299696,,
moth,T5,5,P05,emotional_attribution,0.005274745208832125,0.00438404455780983,0.005049107479862869,0.0008907006510222954,0.54610828909833
moth,T5,5,P06,policy_framing,0.006193701915132503,,0.008148394786985591,,
moth,T5,5,P07,consciousness_probe,0.00012612535465450492,,0.00702745847714444,,
moth,T5,5,P08,neutral_baseline,,,0.0008995624717499595,,
mushroom,T6,6,P01,appearance_state,0.0003371729799255263,0.0017993946894421242,,-0.001462221709516598,0.1578105711223556
mushroom,T6,6,P02,researcher_observation,1.925526430568425e-05,0.0007135780192584207,0.00016946221876423806,-0.0006943227549527364,0.026275091634113425
mushroom,T6,6,P03,moral_framing,6.63171037255476e-05,,0.0024868572193857594,,
mushroom,T6,6,P04,care_intervention,0.007626150501891971,,0.00333908706670627,,
mushroom,T6,6,P05,emotional_attribution,0.0017020308077917434,0.0024901682045310736,0.0054530713823623955,-0.0007881373967393301,0.4059995153352058
mushroom,T6,6,P06,policy_framing,0.0015197297955940787,,0.004436106974026188,,
mushroom,T6,6,P07,consciousness_probe,2.879161274904618e-05,,0.03908783352623383,,
mushroom,T6,6,P08,neutral_baseline,,,0.0017674636765150353,,
mussel,T4,4,P01,appearance_state,0.0025266457960242406,0.003957445806008764,,-0.001430800009984523,0.3896684242192385
mussel,T4,4,P02,researcher_observation,5.006267444211213e-05,0.0003099616660620086,0.0045419937232509255,-0.00025989899161989644,0.1390535441760908
mussel,T4,4,P03,moral_framing,0.0006955471762921661,,0.004122794935634981,,
mussel,T4,4,P04,care_intervention,0.04218350723385811,,0.028516979422420263,,
mussel,T4,4,P05,emotional_attribution,0.00409196571369345,0.006690341513603926,0.003956594649935141,-0.0025983757999104755,0.3795074272585324
mussel,T4,4,P06,policy_framing,0.006416922842618078,,0.0032997575035551563,,
mussel,T4,4,P07,consciousness_probe,0.00012780146425939165,,0.012532467565809688,,
mussel,T4,4,P08,neutral_baseline,,,0.002850041157216765,,
nematode,T5,5,P01,appearance_state,0.0005222843294632185,0.0010486377286724746,,-0.0005263533992092562,0.3324698978611673
nematode,T5,5,P02,researcher_observation,5.689165209332714e-05,0.00039453093268093653,0.0062831249088048935,-0.0003376392805876094,0.1260274550043406
nematode,T5,5,P03,moral_framing,0.0006478956978147229,,0.005437515831242005,,
nematode,T5,5,P04,care_intervention,0.010067136026918888,,0.03375651501119137,,
nematode,T5,5,P05,emotional_attribution,0.003815090652400007,0.01059145200997591,0.004446852544788271,-0.006776361357575903,0.26481652922056265
nematode,T5,5,P06,policy_framing,0.006687966136572261,,0.010063895519124344,,
nematode,T5,5,P07,consciousness_probe,0.00013175071217119694,,0.008248667698353529,,
nematode,T5,5,P08,neutral_baseline,,,0.0024079776514554395,,
oak tree,T6,6,P01,appearance_state,0.0005847036827617558,0.0009607255124137737,,-0.0003760218296520179,0.3783438586204264
oak tree,T6,6,P02,researcher_observation,5.443184757799221e-05,0.0008886057314612117,0.00043397711124271154,-0.0008341738838832194,0.057719695392711205
oak tree,T6,6,P03,moral_framing,0.00036688340090525645,,0.014089862398880845,,
oak tree,T6,6,P04,care_intervention,0.03725745901465416,,0.006165767554193735,,
oak tree,T6,6,P05,emotional_attribution,0.0010953654746117536,0.000330150593072176,0.0067281405499670655,0.0007652148815395776,0.7683991942311116
oak tree,T6,6,P06,policy_framing,0.0020988050043039643,,0.0018229085835628211,,
oak tree,T6,6,P07,consciousness_probe,0.00010632427438395098,,0.004830183199374005,,
oak tree,T6,6,P08,neutral_baseline,,,0.0022654475978924893,,
octopus,T4,4,P01,appearance_state,0.001671913603786379,0.002088533074129373,,-0.00041661947034299374,0.4446050436360773
octopus,T4,4,P02,researcher_observation,0.0001026214740704745,0.00014278709204518236,0.007895620306953788,-4.016561797470786e-05,0.4181656487310468
octopus,T4,4,P03,moral_framing,0.0021635300411920375,,0.006585770985111594,,
octopus,T4,4,P04,care_intervention,0.018026582896709442,,0.05154208932071924,,
octopus,T4,4,P05,emotional_attribution,0.00353042048906597,0.010738867335021496,0.0033958231506403536,-0.007208446845955526,0.24741392197338702
octopus,T4,4,P06,policy_framing,0.004374494931350152,,0.013214073027484119,,
octopus,T4,4,P07,consciousness_probe,0.0012795857182936743,,0.006600607070140541,,
octopus,T4,4,P08,neutral_baseline,,,0.004468356870347634,,
patient,T1,1,P01,appearance_state,0.005827108893640798,0.0027692821458913386,,0.003057826747749459,0.6778552533334287
patient,T1,1,P02,researcher_observation,0.004719824006315321,0.0024188846837205347,0.0012293186591705307,0.002300939322594786,0.661159341995181
patient,T1,1,P03,moral_framing,0.0038560302928090096,,0.0013261106990588207,,
patient,T1,1,P04,care_intervention,0.022353483363986015,,0.005535037809750065,,
patient,T1,1,P05,emotional_attribution,0.004609406877231474,0.004068135749548674,0.0003922970063285902,0.0005412711276828004,0.5311880358717428
patient,T1,1,P06,policy_framing,0.01054707340275248,,5.612296848767073e-05,,
patient,T1,1,P07,consciousness_probe,0.008505650057486491,,0.013456731003619401,,
patient,T1,1,P08,neutral_baseline,,,0.0012355611179373227,,
pig,T2,2,P01,appearance_state,0.003530895250150934,0.003476658253930509,,5.423699622042477e-05,0.5038698880725533
pig,T2,2,P02,researcher_observation,0.0004480521214039375,0.0022521454375237226,0.014508814318105578,-0.0018040933161197852,0.16593308268472248
pig,T2,2,P03,moral_framing,0.002070374369698887,,0.0029616078051428,,
pig,T2,2,P04,care_intervention,0.04499953705817461,,0.016912829130887985,,
pig,T2,2,P05,emotional_attribution,0.007153467236397167,0.019425543025135994,0.0013148293364793062,-0.012272075788738828,0.26913971359709166
pig,T2,2,P06,policy_framing,0.008060710659871498,,0.004356665187515318,,
pig,T2,2,P07,consciousness_probe,0.0013317634802660905,,0.009354269927522788,,
pig,T2,2,P08,neutral_baseline,,,0.00205562079208903,,
pigeon,T3,3,P01,appearance_state,0.0034014268894679844,0.0019792526436503977,,0.0014221742458175868,0.6321556237119217
pigeon,T3,3,P02,researcher_observation,0.00034271878636597347,0.0008920925756683573,0.011372741544619203,-0.0005493737893023838,0.27754746121432183
pigeon,T3,3,P03,moral_framing,0.001795651556070273,,0.002014236156052599,,
pigeon,T3,3,P04,care_intervention,0.03394853603094816,,0.015104095917195082,,
pigeon,T3,3,P05,emotional_attribution,0.004918167037734141,0.007434285245835781,0.0018051275401376188,-0.0025161182081016404,0.39815308612529665
pigeon,T3,3,P06,policy_framing,0.00476238876581192,,0.009699177229776978,,
pigeon,T3,3,P07,consciousness_probe,0.0017159473354695365,,0.0174626261771967,,
pigeon,T3,3,P08,neutral_baseline,,,0.00252790751401335,,
prisoner,T1,1,P01,appearance_state,0.007694815900322283,0.003181626023433637,,0.004513189876888646,0.7074754670245612
prisoner,T1,1,P02,researcher_observation,0.000509025432014217,0.001407137286150828,0.005542001686990261,-0.000898111854136611,0.26564831922877497
prisoner,T1,1,P03,moral_framing,0.0014352495005975168,,0.0010838735130770754,,
prisoner,T1,1,P04,care_intervention,0.021046269685029984,,0.022019372321665287,,
prisoner,T1,1,P05,emotional_attribution,0.007344405981712043,0.005202184896916151,0.0008986601460492238,0.0021422210847958922,0.5853706392614911
prisoner,T1,1,P06,policy_framing,0.0034921702463179827,,4.0679991172964947e-05,,
prisoner,T1,1,P07,consciousness_probe,0.011420795835874742,,0.05330784774681282,,
prisoner,T1,1,P08,neutral_baseline,,,0.002457997523015365,,
rabbit,T2,2,P01,appearance_state,0.002461326541379094,0.0026910421875072643,,-0.0002297156461281702,0.47770775406835336
rabbit,T2,2,P02,researcher_observation,0.0006330011140865585,0.0009654962050262839,0.011902454774826765,-0.0003324950909397254,0.3959975828036499
rabbit,T2,2,P03,moral_framing,0.0019817289721686393,,0.004193794913589954,,
rabbit,T2,2,P04,care_intervention,0.04163871333003044,,0.02323234686627984,,
rabbit,T2,2,P05,emotional_attribution,0.0056958267038377626,0.00839251559227705,0.0026570236950647086,-0.0026966888884392875,0.40429360273132764
rabbit,T2,2,P06,policy_framing,0.007402907203262051,,0.01295200060121715,,
rabbit,T2,2,P07,consciousness_probe,0.0014354999220813625,,0.01684697258557814,,
rabbit,T2,2,P08,neutral_baseline,,,0.003550932079087943,,
rat,T2,2,P01,appearance_state,0.0031099980624276213,0.004482372663915157,,-0.001372374601487536,0.40962146522625764
