entity,tier,layer,pc1,pc2,method
mantis shrimp,T4,17,-6.562610626220703,-8.936911582946777,pca_entity_mean
mite,T5,17,0.1996423453092575,-11.10240364074707,pca_entity_mean
moss,T6,17,-5.413553237915039,-19.802490234375,pca_entity_mean
moth,T5,17,-8.971233367919922,-4.909650802612305,pca_entity_mean
mushroom,T6,17,-8.800827980041504,-10.7795991897583,pca_entity_mean
mussel,T4,17,-13.650538444519043,-12.081280708312988,pca_entity_mean
nematode,T5,17,-8.209644317626953,-12.463654518127441,pca_entity_mean
oak tree,T6,17,5.752298355102539,-7.966019153594971,pca_entity_mean
octopus,T4,17,-3.9017114639282227,-5.435821056365967,pca_entity_mean
patient,T1,17,29.38435173034668,4.902897357940674,pca_entity_mean
pig,T2,17,-10.751632690429688,31.27239227294922,pca_entity_mean
pigeon,T3,17,-9.709824562072754,24.279014587402344,pca_entity_mean
prisoner,T1,17,25.279909133911133,3.8271708488464355,pca_entity_mean
rabbit,T2,17,-6.460298538208008,20.236082077026367,pca_entity_mean
rat,T2,17,-6.723479747772217,16.29246711730957,pca_entity_mean
refugee,T1,17,13.970939636230469,-3.6498842239379883,pca_entity_mean
river,T6,17,6.859114646911621,-12.94145393371582,pca_entity_mean
rock,T6,17,5.073501110076904,-16.55381965637207,pca_entity_mean
salmon,T3,17,-18.59140968322754,0.7571090459823608,pca_entity_mean
seaweed,T6,17,-2.7255823612213135,-17.281288146972656,pca_entity_mean
shrimp,T4,17,-19.752134323120117,-5.744255065917969,pca_entity_mean
snake,T3,17,-8.617196083068848,7.586735725402832,pca_entity_mean
soldier,T1,17,25.383474349975586,1.873486876487732,pca_entity_mean
squid,T4,17,-7.193556308746338,-5.584120750427246,pca_entity_mean
statue,T6,17,15.158486366271973,-8.396063804626465,pca_entity_mean
table,T6,17,14.014876365661621,-11.684551239013672,pca_entity_mean
teenager,T1,17,31.257692337036133,2.3397934436798096,pca_entity_mean
trout,T3,17,-15.597067832946777,-0.63880854845047,pca_entity_mean
tuna,T3,17,-5.907897472381592,-9.344015121459961,pca_entity_mean
whale,T2,17,-5.818688869476318,11.115002632141113,pca_entity_mean
woman,T1,17,29.425756454467773,3.0295045375823975,pca_entity_mean
woodlouse,T5,17,-1.9657483100891113,-9.804445266723633,pca_entity_mean
