entity,tier,layer,pc1,pc2,method
crow,T3,3,7.462697505950928,4.625564098358154,pca_entity_mean
dog,T2,3,-6.45631217956543,4.7171173095703125,pca_entity_mean
dolphin,T2,3,3.59458327293396,-6.648953914642334,pca_entity_mean
earthworm,T5,3,2.9800772666931152,-2.7045657634735107,pca_entity_mean
elderly person,T1,3,-11.367718696594238,-9.971966743469238,pca_entity_mean
elephant,T2,3,-2.9252841472625732,4.1386189460754395,pca_entity_mean
fly,T5,3,4.693207740783691,3.4570934772491455,pca_entity_mean
frog,T3,3,-0.7937936186790466,9.907864570617676,pca_entity_mean
gecko,T3,3,7.578797817230225,-5.33504581451416,pca_entity_mean
horse,T2,3,-6.185610771179199,6.923374652862549,pca_entity_mean
infant,T1,3,-16.619779586791992,-1.4275718927383423,pca_entity_mean
lobster,T4,3,7.1574578285217285,-1.9935157299041748,pca_entity_mean
mantis shrimp,T4,3,7.589583873748779,-4.414060115814209,pca_entity_mean
mite,T5,3,6.1450419425964355,-11.539907455444336,pca_entity_mean
moss,T6,3,8.143769264221191,5.160140514373779,pca_entity_mean
moth,T5,3,2.851996421813965,5.5681633949279785,pca_entity_mean
mushroom,T6,3,7.481075763702393,6.517548561096191,pca_entity_mean
mussel,T4,3,6.830768585205078,-5.692089080810547,pca_entity_mean
nematode,T5,3,6.180870532989502,-3.408803701400757,pca_entity_mean
oak tree,T6,3,3.9625730514526367,-4.413639545440674,pca_entity_mean
octopus,T4,3,7.063963413238525,-5.6053466796875,pca_entity_mean
patient,T1,3,-19.08795738220215,-7.125522136688232,pca_entity_mean
pig,T2,3,-3.770193576812744,8.720762252807617,pca_entity_mean
pigeon,T3,3,-0.5392114520072937,1.1497007608413696,pca_entity_mean
prisoner,T1,3,-16.088685989379883,-3.130281925201416,pca_entity_mean
rabbit,T2,3,-1.510433554649353,7.296525001525879,pca_entity_mean
rat,T2,3,-1.4281781911849976,4.716885566711426,pca_entity_mean
refugee,T1,3,-10.59971809387207,-0.5693801045417786,pca_entity_mean
river,T6,3,-0.3129085898399353,4.693673610687256,pca_entity_mean
rock,T6,3,3.349273204803467,0.9138424396514893,pca_entity_mean
salmon,T3,3,3.085465431213379,13.149620056152344,pca_entity_mean
seaweed,T6,3,5.119701862335205,-3.2304770946502686,pca_entity_mean
shrimp,T4,3,1.6126030683517456,12.299774169921875,pca_entity_mean
snake,T3,3,-0.23293887078762054,9.248732566833496,pca_entity_mean
soldier,T1,3,-13.12020492553711,-2.321854591369629,pca_entity_mean
squid,T4,3,8.708213806152344,-4.898385047912598,pca_entity_mean
statue,T6,3,-7.588039398193359,-1.0408573150634766,pca_entity_mean
table,T6,3,-2.518038749694824,-7.915167331695557,pca_entity_mean
teenager,T1,3,-15.017942428588867,-5.862189292907715,pca_entity_mean
trout,T3,3,1.5547409057617188,15.005840301513672,pca_entity_mean
tuna,T3,3,7.059347629547119,-8.042596817016602,pca_entity_mean
whale,T2,3,-1.0142995119094849,9.407184600830078,pca_entity_mean
woman,T1,3,-13.473968505859375,-6.855306148529053,pca_entity_mean
woodlouse,T5,3,7.520127773284912,-9.815155029296875,pca_entity_mean
worker,T1,3,-11.090925216674805,-4.4680070877075195,pca_entity_mean
zebrafish,T3,3,-0.6746916174888611,13.004964828491211,pca_entity_mean
ant,T5,4,-8.386340141296387,11.522252082824707,pca_entity_mean
aphid,T5,4,-7.130623817443848,8.240113258361816,pca_entity_mean
bacterium,T6,4,3.867888927459717,-1.3128392696380615,pca_entity_mean
bee,T4,4,-5.742627143859863,-1.6828442811965942,pca_entity_mean
beetle,T5,4,-5.612926959991455,0.711297333240509,pca_entity_mean
bumblebee,T4,4,-5.85745906829834,9.453184127807617,pca_entity_mean
chicken,T3,4,-1.560280203819275,-11.432905197143555,pca_entity_mean
child,T1,4,18.480640411376953,1.8673585653305054,pca_entity_mean
chimpanzee,T2,4,-6.669227600097656,9.876948356628418,pca_entity_mean
cloud,T6,4,-0.46328678727149963,7.66744327545166,pca_entity_mean
cockroach,T5,4,-5.753685474395752,7.180241107940674,pca_entity_mean
cow,T2,4,-0.9436953067779541,-6.451926231384277,pca_entity_mean
crab,T4,4,-4.853983402252197,-10.218514442443848,pca_entity_mean
crayfish,T4,4,-6.166231155395508,6.605511665344238,pca_entity_mean
crow,T3,4,-9.702919960021973,0.35916784405708313,pca_entity_mean
dog,T2,4,3.5825083255767822,-8.879170417785645,pca_entity_mean
dolphin,T2,4,-2.1287333965301514,5.556875705718994,pca_entity_mean
earthworm,T5,4,-1.392542839050293,2.000730514526367,pca_entity_mean
elderly person,T1,4,15.539620399475098,5.866375923156738,pca_entity_mean
elephant,T2,4,-0.14959204196929932,-4.7704010009765625,pca_entity_mean
fly,T5,4,-5.181705474853516,-2.197038412094116,pca_entity_mean
frog,T3,4,-1.1236896514892578,-11.190451622009277,pca_entity_mean
gecko,T3,4,-6.2643609046936035,7.530067443847656,pca_entity_mean
horse,T2,4,3.1550049781799316,-9.909346580505371,pca_entity_mean
infant,T1,4,14.394152641296387,-2.2644031047821045,pca_entity_mean
lobster,T4,4,-7.01546049118042,2.8441243171691895,pca_entity_mean
mantis shrimp,T4,4,-7.743861675262451,5.528787612915039,pca_entity_mean
mite,T5,4,-3.5174505710601807,13.470354080200195,pca_entity_mean
moss,T6,4,-7.163211345672607,0.8810670375823975,pca_entity_mean
moth,T5,4,-4.061733722686768,-5.390870571136475,pca_entity_mean
mushroom,T6,4,-8.22137451171875,-4.097111701965332,pca_entity_mean
mussel,T4,4,-6.008578300476074,4.489795207977295,pca_entity_mean
nematode,T5,4,-6.139001369476318,2.948056697845459,pca_entity_mean
oak tree,T6,4,-3.2352685928344727,6.225512504577637,pca_entity_mean
octopus,T4,4,-5.79395866394043,5.273033142089844,pca_entity_mean
patient,T1,4,20.839231491088867,3.1842660903930664,pca_entity_mean
